experiment,condition,seed,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
context_ablation,Shuffled History,66,349.314413189888,56.72374429223744,43.27625570776256,0.021889957081146133,0.013671369411885731,0.0,43.27625570776256,783.6582850348327,0.0,0.3051202077965566,1.4210854715202004e-14
context_ablation,Reversed History,66,348.50040104985237,56.541095890410965,43.45890410958904,0.021896295202943075,0.013124201467611812,0.0,43.45890410958904,782.9116040412662,0.0,0.305718249027058,2.842170943040401e-14
context_ablation,Zero History,66,347.6566661596298,56.24429223744293,43.75570776255708,0.02190321816330448,0.012463273397386449,0.0,43.75570776255708,781.5683515541522,0.0,0.30780099375023723,1.4210854715202004e-14
context_ablation,Shuffled Forecast,66,339.4202698171139,57.32876712328767,42.67123287671233,0.021721384208738297,0.015308089752504306,0.0,42.67123287671233,773.360020308289,0.0,0.30567356839813226,1.4210854715202004e-14
context_ablation,Zero Forecast,66,345.54345703125,56.68949771689498,43.31050228310502,0.021833939245987043,0.010970432139896532,0.0,43.31050228310502,778.8494564865075,0.0,0.3068313452126546,1.4210854715202004e-14
forecast_robustness,SF10,66,343.1195921897888,56.974885844748854,43.025114155251146,0.02179623353966535,0.011330133051153105,0.0,43.025114155251146,777.8070543792312,0.0,0.3047692091285701,1.4210854715202004e-14
forecast_robustness,SF20,66,342.98023465275764,56.99771689497717,43.00228310502283,0.02179391145720704,0.011682132112066663,0.0,43.00228310502283,777.686572364421,0.0,0.30474404896714274,1.4210854715202004e-14
forecast_robustness,SF30,66,342.76786172389984,57.10045662100457,42.89954337899544,0.021790042135302688,0.012226848715801654,0.0,42.89954337899544,777.5117130572901,0.0,0.30469428807209376,2.842170943040401e-14
sequence_sensitivity,k6,66,347.7459305822849,56.51826484018265,43.481735159817354,0.02189462635384961,0.012302067525066433,0.0,43.481735159817354,782.608616537733,0.0,0.3061527116746554,2.842170943040401e-14
sequence_sensitivity,k12,66,344.2585550248623,56.87214611872145,43.12785388127854,0.021826268756456067,0.011898002932504209,0.0,43.12785388127854,779.0401275913381,0.0,0.30522017535236595,1.4210854715202004e-14
sequence_sensitivity,k24,66,342.98023465275764,56.99771689497717,43.00228310502283,0.02179391145720704,0.011682132112066663,0.0,43.00228310502283,777.686572364421,0.0,0.30474404896714274,1.4210854715202004e-14
sequence_sensitivity,k48,66,342.82678085565567,56.91780821917808,43.082191780821915,0.021791534066569584,0.011726871321688287,0.0,43.082191780821915,777.3755329820065,0.0,0.3047993718971727,2.842170943040401e-14
context_ablation,Full,77,339.6196050941944,58.230593607305934,41.769406392694066,0.021495914720979344,0.013217792961202483,0.0,41.769406392694066,770.5285012408702,0.0,0.3040656150579975,1.4210854715202004e-14
context_ablation,No History,77,338.6054114997387,58.00228310502283,41.99771689497717,0.021518326175112505,0.012810207924650662,0.15981735159817353,41.837899543378995,769.569644547654,0.0,0.3043508773816337,1.4210854715202004e-14
context_ablation,No Forecast,77,336.7367370724678,58.49315068493151,41.50684931506849,0.021427941795679684,0.013618855389139806,0.045662100456621,41.46118721461187,767.8111876714631,0.0,0.30357500499415,1.4210854715202004e-14
context_ablation,No Context,77,335.05380153656006,58.230593607305934,41.769406392694066,0.02143815539675574,0.013190811128019675,0.2625570776255708,41.50684931506849,766.2058372705363,0.0,0.3038078159732266,1.4210854715202004e-14
context_ablation,Shuffled History,77,338.05971843004227,58.264840182648406,41.735159817351594,0.02147588226300749,0.01570609712766749,0.05707762557077625,41.678082191780824,768.8416768622839,0.0,0.30423524433141497,1.4210854715202004e-14
context_ablation,Reversed History,77,337.9135856330395,58.28767123287671,41.71232876712329,0.02147200117838367,0.0128343055810078,0.0,41.71232876712329,768.8110279265039,0.0,0.3039786215365571,1.4210854715202004e-14
context_ablation,Zero History,77,341.58460277318954,57.89954337899543,42.10045662100457,0.02156162561542493,0.012860671024314888,0.136986301369863,41.9634703196347,772.3153711774196,0.0,0.30467090079123194,1.4210854715202004e-14
context_ablation,Shuffled Forecast,77,344.20496967434883,58.264840182648406,41.735159817351594,0.02153142695833842,0.01582985855779333,0.0,41.735159817351594,774.7644981188148,0.0,0.30435548401338286,1.4210854715202004e-14
context_ablation,Zero Forecast,77,339.5575852096081,58.41324200913242,41.58675799086758,0.021467311445782896,0.013677566192209728,0.0,41.58675799086758,770.4087889915122,0.0,0.3038731512870558,1.4210854715202004e-14
forecast_robustness,SF10,77,339.5269141793251,58.242009132420094,41.757990867579906,0.02149451090314886,0.013175919908872409,0.0,41.757990867579906,770.4339590839145,0.0,0.30406076206497423,1.4210854715202004e-14
forecast_robustness,SF20,77,339.6196050941944,58.230593607305934,41.769406392694066,0.021495914720979344,0.013217792961202483,0.0,41.769406392694066,770.5285012408702,0.0,0.3040656150579975,1.4210854715202004e-14
forecast_robustness,SF30,77,339.79575034976006,58.20776255707762,41.79223744292238,0.021498457993222808,0.013295056980785026,0.0,41.79223744292238,770.7027027239033,0.0,0.30407608903122074,1.4210854715202004e-14
sequence_sensitivity,k6,77,341.3892042040825,58.025114155251146,41.97488584474886,0.0215375335020019,0.013190306672931248,0.0,41.97488584474886,772.0938241094394,0.0,0.30448153978168757,1.4210854715202004e-14
sequence_sensitivity,k12,77,339.91506162285805,58.18493150684931,41.81506849315069,0.02150316348591811,0.013233447383835322,0.0,41.81506849315069,770.8551744405777,0.0,0.30407923655788915,1.4210854715202004e-14
sequence_sensitivity,k24,77,339.6196050941944,58.230593607305934,41.769406392694066,0.021495914720979344,0.013217792961202483,0.0,41.769406392694066,770.5285012408702,0.0,0.3040656150579975,1.4210854715202004e-14
sequence_sensitivity,k48,77,339.8884114921093,58.19634703196347,41.80365296803653,0.021501768406195765,0.013219351280033622,0.0,41.80365296803653,770.7987801884924,0.0,0.3040797711596943,1.4210854715202004e-14
context_ablation,Full,88,371.18757662177086,49.589041095890416,50.41095890410959,0.022101521553893774,0.022991068519159382,8.356164383561644,42.054794520547944,814.1447415434245,0.0,0.2993769387261885,1.4210854715202004e-14
context_ablation,No History,88,383.10423159599304,47.10045662100457,52.89954337899543,0.022474133471163425,0.024226733543023845,10.947488584474886,41.95205479452055,833.3537951809074,0.0,0.29861074580885183,1.4210854715202004e-14
context_ablation,No Forecast,88,368.75578013062477,46.31278538812785,53.68721461187215,0.022439751215269716,0.023113264114375746,12.0662100456621,41.62100456621005,822.9457544665827,0.0,0.297846869345478,1.4210854715202004e-14
context_ablation,No Context,88,384.0218263566494,44.794520547945204,55.205479452054796,0.022910086412825548,0.024420521791864033,13.41324200913242,41.79223744292238,845.8319323062769,0.0,0.29737963033115344,1.4210854715202004e-14
context_ablation,Shuffled History,88,371.04089719057083,49.06392694063927,50.93607305936073,0.02213036006197665,0.02332572363897986,8.949771689497716,41.986301369863014,815.6778826753127,0.0,0.2987483970822072,1.4210854715202004e-14
context_ablation,Reversed History,88,372.1069703698158,49.38356164383562,50.61643835616438,0.022128886370772982,0.023484464115116038,8.584474885844749,42.03196347031963,815.8077708317932,0.0,0.2990796180467993,1.4210854715202004e-14
context_ablation,Zero History,88,372.37611693143845,46.26712328767123,53.73287671232877,0.02245997294797524,0.023665472393861194,12.04337899543379,41.68949771689498,826.078955554065,0.0,0.2978946549417607,1.4210854715202004e-14
context_ablation,Shuffled Forecast,88,367.7301271557808,46.3013698630137,53.6986301369863,0.02244243496403557,0.025206261709245704,12.11187214611872,41.58675799086758,822.3511963536882,0.0,0.29777878585023465,1.4210854715202004e-14
context_ablation,Zero Forecast,88,361.9360930621624,46.1986301369863,53.801369863013704,0.02243799040262654,0.022741370075763476,12.363013698630137,41.43835616438356,818.4211915282776,0.0,0.2973885616260193,1.4210854715202004e-14
forecast_robustness,SF10,88,370.96807861328125,49.53196347031963,50.46803652968036,0.022101241052133562,0.022732948822060027,8.41324200913242,42.054794520547944,813.9794734704941,0.0,0.2993578614511031,1.4210854715202004e-14
forecast_robustness,SF20,88,371.18757662177086,49.589041095890416,50.41095890410959,0.022101521553893774,0.022991068519159382,8.356164383561644,42.054794520547944,814.1447415434245,0.0,0.2993769387261885,1.4210854715202004e-14
forecast_robustness,SF30,88,371.50488939881325,49.69178082191781,50.30821917808219,0.02210178803915517,0.02334971587289644,8.2648401826484,42.04337899543379,814.3655479295978,0.0,0.29940469970635697,1.4210854715202004e-14
sequence_sensitivity,k6,88,373.770752876997,49.417808219178085,50.582191780821915,0.022140975928889334,0.023258971697065516,8.504566210045663,42.077625570776256,816.9785762840693,0.0,0.29942749815897163,1.4210854715202004e-14
sequence_sensitivity,k12,88,371.59856206178665,49.577625570776256,50.42237442922375,0.022107727953761345,0.023029617202215264,8.356164383561644,42.0662100456621,814.5835430600478,0.0,0.2993927880580155,1.4210854715202004e-14
sequence_sensitivity,k24,88,371.18757662177086,49.589041095890416,50.41095890410959,0.022101521553893774,0.022991068519159382,8.356164383561644,42.054794520547944,814.1447415434245,0.0,0.2993769387261885,1.4210854715202004e-14
sequence_sensitivity,k48,88,371.1752855479717,49.589041095890416,50.41095890410959,0.022101368431608644,0.02299006401519414,8.356164383561644,42.054794520547944,814.1323046496393,0.0,0.2993766847244435,1.4210854715202004e-14
context_ablation,Full,99,302.30165058374405,60.901826484018265,39.098173515981735,0.020973056013393058,0.010038512862154658,0.0,39.098173515981735,740.5374962356021,0.0,0.29901583179388275,1.4210854715202004e-14
context_ablation,No History,99,319.46250623464584,60.36529680365297,39.63470319634703,0.02121611064768323,0.01101721549485968,0.0,39.63470319634703,756.7866284558054,0.0,0.30067742469474273,1.4210854715202004e-14
context_ablation,No Forecast,99,311.3231246471405,60.59360730593607,39.406392694063925,0.021102914125488675,0.010517443158008939,0.0,39.406392694063925,749.300399758293,0.0,0.2996180505190912,1.4210854715202004e-14
context_ablation,No Context,99,336.63821879029274,59.85159817351599,40.14840182648402,0.021447988127904792,0.012416497783065318,0.0,40.14840182648402,773.7343162821536,0.0,0.30124274014184876,1.4210854715202004e-14
context_ablation,Shuffled History,99,305.1046945154667,60.87899543378995,39.12100456621005,0.02100790199376478,0.013496000114294584,0.0,39.12100456621005,743.4503935851892,0.0,0.29918941436141616,1.4210854715202004e-14
context_ablation,Reversed History,99,306.4456260204315,60.87899543378995,39.12100456621005,0.021019775766549162,0.011487317093432065,0.0,39.12100456621005,744.6676821747662,0.0,0.2992269787938474,1.4210854715202004e-14
context_ablation,Zero History,99,322.04883712530136,60.25114155251141,39.74885844748858,0.021255459087849704,0.011159983583203815,0.0,39.74885844748858,759.2266610977872,0.0,0.30097978573871725,1.4210854715202004e-14
context_ablation,Shuffled Forecast,99,306.8173089325428,60.79908675799087,39.200913242009136,0.02103305549109107,0.01566736941972352,0.0,39.200913242009136,745.0235297359523,0.0,0.2990438778905726,1.4210854715202004e-14
context_ablation,Zero Forecast,99,307.43134662508965,60.81050228310503,39.18949771689498,0.021042766546952262,0.010340288293349416,0.0,39.18949771689498,745.6568741188343,0.0,0.2990546928132154,1.4210854715202004e-14
forecast_robustness,SF10,99,302.3451550900936,60.901826484018265,39.098173515981735,0.020973739954502305,0.009896835050894282,0.0,39.098173515981735,740.5805205408208,0.0,0.29902071158551,1.4210854715202004e-14
